First Name,Last Name,Display Name,Email Address,Organizational Unit,Enabled
Esin,Fidelma,Esin Fidelma,Esin.Fidelma@gmail.com,"OU=Domain Users, OU=azka, DC=azka, DC=local",TRUE
Omar,Tovi,Omar Tovi,Omar.Tovi@gmail.com,"OU=Domain Users, OU=azka, DC=azka, DC=local",FALSE
Julius,Aldrich,Julius Aldrich,Julius.Aldrich@gmail.com,"OU=Domain Users, OU=azka, DC=azka, DC=local",FALSE
Susan,Allen,Susan Allen,Susan.Allen@gmail.com,"OU=Domain Users, OU=azka, DC=azka, DC=local",FALSE
Nazil,Ayaz,Nazile Ayaz,Nazile.Ayaz@gmail.com,"OU=Domain Users, OU=azka, DC=azka, DC=local",TRUE
Phet,Chaipanya,Phet Chaipanya,Phet.Chaipanya@gmail.com,"OU=Domain Users, OU=azka, DC=azka, DC=local",TRUE
Victorina,Bonet,Victorina Bonet,Victorina.Bonet@gmail.com,"OU=Domain Users, OU=azka, DC=azka, DC=local",TRUE
Yet,Khan,Yet Khan,Yet.Khan@gmail.com,"OU=Domain Users, OU=azka, DC=azka, DC=local",TRUE
Hisayoshi,Saka,Hisayoshi Saka,Hisayoshi.Saka@gmail.com,"OU=Domain Users, OU=azka, DC=azka, DC=local",TRUE
Xiaohua,Me,Alex Me,Xiaohua.Me@gmail.com,"OU=Domain Users, OU=azka, DC=azka, DC=local",TRUE
